ZoneID1,ZoneID2
60896,60895
60894,60891
60893,70002
60893,70003
60892,60891
60892,70002
60892,70003
60891,70002
60891,70003
60911,60902
60911,65004
60910,60909
60910,70004
60909,70007
60909,70005
60908,70006
60908,70005
60907,70009
60907,70008
60907,70007
60906,70011
60906,70009
60906,70006
60904,65004
60904,70011
60904,70010
60903,70011
60902,60911
60902,65005
60902,70010
65005,65004
65004,65003
65004,70010
65003,65002
65002,65001
60855,70020
60854,70019
60854,70018
60853,70018
60853,70017
60852,60851
60852,70017
60851,60850
60851,70016
60850,60849
60850,70015
60850,70014
60849,60846
60849,70015
60847,60846
60847,70012
60846,70012
65021,65019
65021,65020
65018,65017
65018,70028
65017,70021
65017,70026
65016,70027
65016,70026
65015,65014
65015,70026
65015,70025
65014,65013
65013,70026
65013,70025
65010,70028
65009,65007
65008,65007
65007,70022
70030,70028
70029,70028
70028,70023
70028,70024
70022,70021
60890,60889
60890,65023
60889,60888
60888,60887
60888,65022
